reads_in_population	population_count
1	62246
2	7151
3	1262
4	311
5	76
6	29
7	13
8	3
9	6
10	3
11	2
12	0
13	1
14	1
15	0
16	0
17	0
18	1
19	0
20	1
21	1
22	1
23	0
24	0
25	0
26	2
27	1
28	0
29	0
30	0
31	0
32	0
33	1
34	0
35	1
36	0
37	0
38	0
39	1
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	1
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	1
